Q4_patch_10x10
121 1 1 1
1 1 1 0.00000e+00 0.00000e+00
2 0 1 1.00000e-01 0.00000e+00
3 0 1 2.00000e-01 0.00000e+00
4 0 1 3.00000e-01 0.00000e+00
5 0 1 4.00000e-01 0.00000e+00
6 0 1 5.00000e-01 0.00000e+00
7 0 1 6.00000e-01 0.00000e+00
8 0 1 7.00000e-01 0.00000e+00
9 0 1 8.00000e-01 0.00000e+00
10 0 1 9.00000e-01 0.00000e+00
11 0 1 1.00000e+00 0.00000e+00
12 1 0 0.00000e+00 1.00000e-01
13 0 0 1.00000e-01 1.00000e-01
14 0 0 2.00000e-01 1.00000e-01
15 0 0 3.00000e-01 1.00000e-01
16 0 0 4.00000e-01 1.00000e-01
17 0 0 5.00000e-01 1.00000e-01
18 0 0 6.00000e-01 1.00000e-01
19 0 0 7.00000e-01 1.00000e-01
20 0 0 8.00000e-01 1.00000e-01
21 0 0 9.00000e-01 1.00000e-01
22 0 0 1.00000e+00 1.00000e-01
23 1 0 0.00000e+00 2.00000e-01
24 0 0 1.00000e-01 2.00000e-01
25 0 0 2.00000e-01 2.00000e-01
26 0 0 3.00000e-01 2.00000e-01
27 0 0 4.00000e-01 2.00000e-01
28 0 0 5.00000e-01 2.00000e-01
29 0 0 6.00000e-01 2.00000e-01
30 0 0 7.00000e-01 2.00000e-01
31 0 0 8.00000e-01 2.00000e-01
32 0 0 9.00000e-01 2.00000e-01
33 0 0 1.00000e+00 2.00000e-01
34 1 0 0.00000e+00 3.00000e-01
35 0 0 1.00000e-01 3.00000e-01
36 0 0 2.00000e-01 3.00000e-01
37 0 0 3.00000e-01 3.00000e-01
38 0 0 4.00000e-01 3.00000e-01
39 0 0 5.00000e-01 3.00000e-01
40 0 0 6.00000e-01 3.00000e-01
41 0 0 7.00000e-01 3.00000e-01
42 0 0 8.00000e-01 3.00000e-01
43 0 0 9.00000e-01 3.00000e-01
44 0 0 1.00000e+00 3.00000e-01
45 1 0 0.00000e+00 4.00000e-01
46 0 0 1.00000e-01 4.00000e-01
47 0 0 2.00000e-01 4.00000e-01
48 0 0 3.00000e-01 4.00000e-01
49 0 0 4.00000e-01 4.00000e-01
50 0 0 5.00000e-01 4.00000e-01
51 0 0 6.00000e-01 4.00000e-01
52 0 0 7.00000e-01 4.00000e-01
53 0 0 8.00000e-01 4.00000e-01
54 0 0 9.00000e-01 4.00000e-01
55 0 0 1.00000e+00 4.00000e-01
56 1 0 0.00000e+00 5.00000e-01
57 0 0 1.00000e-01 5.00000e-01
58 0 0 2.00000e-01 5.00000e-01
59 0 0 3.00000e-01 5.00000e-01
60 0 0 4.00000e-01 5.00000e-01
61 0 0 5.00000e-01 5.00000e-01
62 0 0 6.00000e-01 5.00000e-01
63 0 0 7.00000e-01 5.00000e-01
64 0 0 8.00000e-01 5.00000e-01
65 0 0 9.00000e-01 5.00000e-01
66 0 0 1.00000e+00 5.00000e-01
67 1 0 0.00000e+00 6.00000e-01
68 0 0 1.00000e-01 6.00000e-01
69 0 0 2.00000e-01 6.00000e-01
70 0 0 3.00000e-01 6.00000e-01
71 0 0 4.00000e-01 6.00000e-01
72 0 0 5.00000e-01 6.00000e-01
73 0 0 6.00000e-01 6.00000e-01
74 0 0 7.00000e-01 6.00000e-01
75 0 0 8.00000e-01 6.00000e-01
76 0 0 9.00000e-01 6.00000e-01
77 0 0 1.00000e+00 6.00000e-01
78 1 0 0.00000e+00 7.00000e-01
79 0 0 1.00000e-01 7.00000e-01
80 0 0 2.00000e-01 7.00000e-01
81 0 0 3.00000e-01 7.00000e-01
82 0 0 4.00000e-01 7.00000e-01
83 0 0 5.00000e-01 7.00000e-01
84 0 0 6.00000e-01 7.00000e-01
85 0 0 7.00000e-01 7.00000e-01
86 0 0 8.00000e-01 7.00000e-01
87 0 0 9.00000e-01 7.00000e-01
88 0 0 1.00000e+00 7.00000e-01
89 1 0 0.00000e+00 8.00000e-01
90 0 0 1.00000e-01 8.00000e-01
91 0 0 2.00000e-01 8.00000e-01
92 0 0 3.00000e-01 8.00000e-01
93 0 0 4.00000e-01 8.00000e-01
94 0 0 5.00000e-01 8.00000e-01
95 0 0 6.00000e-01 8.00000e-01
96 0 0 7.00000e-01 8.00000e-01
97 0 0 8.00000e-01 8.00000e-01
98 0 0 9.00000e-01 8.00000e-01
99 0 0 1.00000e+00 8.00000e-01
100 1 0 0.00000e+00 9.00000e-01
101 0 0 1.00000e-01 9.00000e-01
102 0 0 2.00000e-01 9.00000e-01
103 0 0 3.00000e-01 9.00000e-01
104 0 0 4.00000e-01 9.00000e-01
105 0 0 5.00000e-01 9.00000e-01
106 0 0 6.00000e-01 9.00000e-01
107 0 0 7.00000e-01 9.00000e-01
108 0 0 8.00000e-01 9.00000e-01
109 0 0 9.00000e-01 9.00000e-01
110 0 0 1.00000e+00 9.00000e-01
111 1 0 0.00000e+00 1.00000e+00
112 0 0 1.00000e-01 1.00000e+00
113 0 0 2.00000e-01 1.00000e+00
114 0 0 3.00000e-01 1.00000e+00
115 0 0 4.00000e-01 1.00000e+00
116 0 0 5.00000e-01 1.00000e+00
117 0 0 6.00000e-01 1.00000e+00
118 0 0 7.00000e-01 1.00000e+00
119 0 0 8.00000e-01 1.00000e+00
120 0 0 9.00000e-01 1.00000e+00
121 0 0 1.00000e+00 1.00000e+00
1 1
121 1 1.00000e+00

2 100 1
1 1 2 13 12 1
2 2 3 14 13 1
3 3 4 15 14 1
4 4 5 16 15 1
5 5 6 17 16 1
6 6 7 18 17 1
7 7 8 19 18 1
8 8 9 20 19 1
9 9 10 21 20 1
10 10 11 22 21 1
11 12 13 24 23 1
12 13 14 25 24 1
13 14 15 26 25 1
14 15 16 27 26 1
15 16 17 28 27 1
16 17 18 29 28 1
17 18 19 30 29 1
18 19 20 31 30 1
19 20 21 32 31 1
20 21 22 33 32 1
21 23 24 35 34 1
22 24 25 36 35 1
23 25 26 37 36 1
24 26 27 38 37 1
25 27 28 39 38 1
26 28 29 40 39 1
27 29 30 41 40 1
28 30 31 42 41 1
29 31 32 43 42 1
30 32 33 44 43 1
31 34 35 46 45 1
32 35 36 47 46 1
33 36 37 48 47 1
34 37 38 49 48 1
35 38 39 50 49 1
36 39 40 51 50 1
37 40 41 52 51 1
38 41 42 53 52 1
39 42 43 54 53 1
40 43 44 55 54 1
41 45 46 57 56 1
42 46 47 58 57 1
43 47 48 59 58 1
44 48 49 60 59 1
45 49 50 61 60 1
46 50 51 62 61 1
47 51 52 63 62 1
48 52 53 64 63 1
49 53 54 65 64 1
50 54 55 66 65 1
51 56 57 68 67 1
52 57 58 69 68 1
53 58 59 70 69 1
54 59 60 71 70 1
55 60 61 72 71 1
56 61 62 73 72 1
57 62 63 74 73 1
58 63 64 75 74 1
59 64 65 76 75 1
60 65 66 77 76 1
61 67 68 79 78 1
62 68 69 80 79 1
63 69 70 81 80 1
64 70 71 82 81 1
65 71 72 83 82 1
66 72 73 84 83 1
67 73 74 85 84 1
68 74 75 86 85 1
69 75 76 87 86 1
70 76 77 88 87 1
71 78 79 90 89 1
72 79 80 91 90 1
73 80 81 92 91 1
74 81 82 93 92 1
75 82 83 94 93 1
76 83 84 95 94 1
77 84 85 96 95 1
78 85 86 97 96 1
79 86 87 98 97 1
80 87 88 99 98 1
81 89 90 101 100 1
82 90 91 102 101 1
83 91 92 103 102 1
84 92 93 104 103 1
85 93 94 105 104 1
86 94 95 106 105 1
87 95 96 107 106 1
88 96 97 108 107 1
89 97 98 109 108 1
90 98 99 110 109 1
91 100 101 112 111 1
92 101 102 113 112 1
93 102 103 114 113 1
94 103 104 115 114 1
95 104 105 116 115 1
96 105 106 117 116 1
97 106 107 118 117 1
98 107 108 119 118 1
99 108 109 120 119 1
100 109 110 121 120 1
1 1.00000e+03 3.00000e-01 1.00000e+00
